"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 06 10:33:35 PDT 2024","Mon May 06 10:33:39 PDT 2024","3705","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:03:52 PDT 2024","Fri Apr 26 10:04:01 PDT 2024","8667","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:02:41 PDT 2024","Fri Apr 26 10:02:47 PDT 2024","6205","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:04:22 PDT 2024","Fri Apr 26 10:04:43 PDT 2024","21627","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon May 06 10:33:17 PDT 2024","Mon May 06 10:33:26 PDT 2024","9120","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:05:10 PDT 2024","Fri Apr 26 10:05:16 PDT 2024","6689","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:04:01 PDT 2024","Fri Apr 26 10:04:12 PDT 2024","10615","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:04:43 PDT 2024","Fri Apr 26 10:05:10 PDT 2024","26265","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:05:16 PDT 2024","Fri Apr 26 10:05:24 PDT 2024","7276","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:03:43 PDT 2024","Fri Apr 26 10:03:52 PDT 2024","9135","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon May 06 10:33:05 PDT 2024","Mon May 06 10:33:17 PDT 2024","11742","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:03:29 PDT 2024","Fri Apr 26 10:03:43 PDT 2024","14331","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:03:01 PDT 2024","Fri Apr 26 10:03:16 PDT 2024","15448","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:04:12 PDT 2024","Fri Apr 26 10:04:22 PDT 2024","10211","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:03:16 PDT 2024","Fri Apr 26 10:03:29 PDT 2024","12569","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Mon May 06 10:33:31 PDT 2024","Mon May 06 10:33:35 PDT 2024","4320","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Apr 26 10:02:47 PDT 2024","Fri Apr 26 10:03:01 PDT 2024","13359","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
